"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Rian",9.6948163861474e-18,-0.27624983116449,0.7,0.775,2.48012792790423e-13,"Rian"
"Frzb",1.1530390153303e-17,-0.336191467709453,0.354,0.453,2.94970440901798e-13,"Frzb"
"Csrp1",1.27643281735272e-17,-0.387908591169207,0.681,0.742,3.26537043335173e-13,"Csrp1"
"Rps6ka1",1.46211077599565e-17,-0.254622683510409,0.479,0.553,3.74037178715207e-13,"Rps6ka1"
"Hoxb4",1.84995210687724e-17,0.325375198584458,0.449,0.356,4.73254747981335e-13,"Hoxb4"
"Mycl",2.01168656198544e-17,-0.292144533278084,0.353,0.446,5.14629656287115e-13,"Mycl"
"Egr1",3.5939635371584e-17,-0.391758557963542,0.358,0.442,9.19407752075862e-13,"Egr1"
"F11r",6.3203714795858e-17,-0.315035796520193,0.572,0.662,1.61687743190764e-12,"F11r"
"Cystm1",7.50677046420154e-17,0.314639875075976,0.342,0.246,1.92038202015204e-12,"Cystm1"
"Gpc3",8.05864946925951e-17,-0.269577027521908,0.912,0.961,2.06156370722597e-12,"Gpc3"
"Hoxc6",1.92081751444779e-16,0.297073671946111,0.262,0.176,4.91383536546035e-12,"Hoxc6"
"Pdgfra",3.23781609319073e-16,0.255152942091069,0.378,0.28,8.28298112960054e-12,"Pdgfra"
"Emb",3.91680846178184e-16,-0.319027337775791,0.9,0.948,1.00199794069303e-11,"Emb"
"Mt1",4.29795297948786e-16,0.366188885932001,0.29,0.2,1.09950233121259e-11,"Mt1"
"Fosb",7.11407204538723e-16,-0.362775205503881,0.366,0.446,1.81992191065096e-11,"Fosb"
"Hoxa9",1.09985264421664e-15,0.439206394773758,0.224,0.144,2.81364303443502e-11,"Hoxa9"
"Gm14226",1.28019174254734e-15,0.396741729230226,0.206,0.13,3.27498651578462e-11,"Gm14226"
"Ezr",5.15104631883296e-15,-0.346955055000544,0.678,0.739,1.31774066928385e-10,"Ezr"
"Peg10",1.92034304844641e-14,0.277048665906961,0.491,0.388,4.91262158653562e-10,"Peg10"
"Laptm4b",3.46797188365415e-14,-0.310904791396416,0.743,0.792,8.87176567276405e-10,"Laptm4b"
"Wnt8a",4.2850393565011e-14,-0.271554093321023,0.069,0.136,1.09619876818011e-09,"Wnt8a"
"Ccnd2",8.95312887148233e-14,0.301892302468523,0.918,0.91,2.29038942790261e-09,"Ccnd2"
"Junb",9.52337590697107e-14,-0.407654556899107,0.316,0.392,2.43627002452134e-09,"Junb"
"Rbp4",4.20979226761023e-13,0.349393232107539,0.165,0.1,1.07694905790005e-08,"Rbp4"
"Hey1",4.75812992174299e-13,-0.251292349855289,0.181,0.263,1.21722479658029e-08,"Hey1"
"Hoxc8",4.77639861032981e-13,0.639991848931611,0.286,0.216,1.22189829249457e-08,"Hoxc8"
"Crip2",1.64529681581547e-12,-0.441513154040849,0.432,0.514,4.20899831421913e-08,"Crip2"
"Grb7",2.09435222357815e-12,-0.254776987213186,0.279,0.358,5.35777185835764e-08,"Grb7"
"Upp1",3.95192573171163e-12,-0.313542002022606,0.244,0.324,1.01098164068647e-07,"Upp1"
"Atf3",1.53658922829944e-11,-0.348888704141714,0.081,0.142,3.93090256383563e-07,"Atf3"
"Hoxa7",1.68625737001063e-11,0.358822073611674,0.293,0.22,4.31378360396119e-07,"Hoxa7"
"Sparc",2.97475144009029e-11,-0.305608469724033,0.671,0.743,7.61000913403897e-07,"Sparc"
